MaxCD_Forest,Reservoir,Year
235.616384,BHR,1988
2626.811594,BHR,1992
2292.5,BHR,1993
68.07692308,BHR,1995
23.06976167,BHR,1998
639.4973732,BHR,1999
1394.545,BHR,2000
108.143,BHR,2001
114.502,BHR,2002
326.3056929,BHR,2003
601.0915706,BHR,2004
2578.67,BHR,2005
257.745,BHR,2006
1698.227697,BHR,2007
9774.379085,BHR,2008
1045415.452,BHR,2013
917375.0827,BHR,2014
10994.24128,BHR,2015
60069.05496,BHR,2016
85271.22311,BHR,2017
704232.1831,BHR,2018
44091.71076,CRR,1992
972.222,CRR,1993
420.7349282,CRR,1995
83.49056604,CRR,1998
29.764,CRR,1999
139.159,CRR,2000
146.573,CRR,2001
302.762,CRR,2002
191.4613492,CRR,2003
552.4608854,CRR,2004
64.136,CRR,2005
132.533,CRR,2006
13.79170856,CRR,2007
76266.22853,CRR,2008
60547.5,CRR,2013
1941.515231,CRR,2014
176731.359,CRR,2015
92429.93049,CRR,2016
155995.7426,CRR,2017
498213.5361,CRR,2018
31378.60082,MNR,1992
38864.583,MNR,1993
22185.28261,MNR,1995
2707.215,MNR,1998
2683.963,MNR,1999
757.781,MNR,2000
945.903,MNR,2001
2500.96,MNR,2003
839.3938824,MNR,2004
20303.36,MNR,2005
5245.662,MNR,2006
2843.533116,MNR,2007
3073.90099,MNR,2008
657995.6813,MNR,2010
8628.26087,MNR,2013
324212.0997,MNR,2014
49067.80509,MNR,2015
377326.7758,MNR,2016
295307.0432,MNR,2017
225231.611,MNR,2018
58280.79853,PRR,1992
5445,PRR,1993
370.1709402,PRR,1995
1692.200455,PRR,1998
1604.503,PRR,1999
1348.852,PRR,2000
2535.232,PRR,2002
920.808,PRR,2003
3917.822222,PRR,2004
1050.765,PRR,2005
4073.008,PRR,2006
4473.888386,PRR,2007
22251.92308,PRR,2008
62844.43571,PRR,2010
28325,PRR,2012
64114.16667,PRR,2013
407748.2217,PRR,2014
227854.0905,PRR,2015
396775.3921,PRR,2016
1385836.296,PRR,2017
556079.4857,PRR,2018
