MaxCD_Forest,MaxCD_AgricultureStrat,MaxCD_AgricultureNoStrat,TN_Forest,TN_AgricultureStrat,TN_AgricultureNoStrat,TP_Forest,TP_AgricultureStrat,TP_AgricultureNoStrat,Precip_Forest,Precip_AgricultureStrat,Precip_AgricultureNoStrat
235.616384,804.5454545,7774.504302,0.3,0.44,1.414285714,5,54.33333333,18.57142857,-1.318801906,0.248355629,-0.636743991
2626.811594,5170.012886,28703.704,0.241666667,0.48,1.1,5,22,34,-1.277343898,-1.235155328,-0.849473713
2292.5,7035,612.6741573,0.483333333,0.5,2.4,12,61.25,17.5,1.259367965,1.090907148,0.655049538
68.07692308,6236.275801,17563.84615,0.265,0.67,1.2,115,8,90,-0.129475302,-1.534958936,1.348733414
23.06976167,11692.21154,34547.745,0.2,0.728333333,1.125,35.5,45,28,-0.06728829,-1.266169494,-1.953201836
639.4973732,7772.803,43475.785,1.394473684,0.467,1.198,70,89.4,44,0.865516889,0.126883477,0.0816042
1394.545,5688.136,191.488,0.105,2.0608,1.233,5,23.875,43.42857143,-0.056923788,-0.656224223,0.42073854
108.143,2575.822,8326.463,0.245557143,0.867875,1.6189,5,11,154.3,-0.831670312,-0.516660474,0.019943411
114.502,15219.801,26612.44311,0.326857143,1.605,1.04425,4.6125,17.39,46,-1.974356657,-1.361796507,0.550226197
326.3056929,32694.11765,15608.49231,0.2706,0.892843333,1.605,87.89473684,11.9,35.8,0.103725993,0.788519026,0.235756173
601.0915706,21128,71148,0.236711111,0.5917,0.94925,1.26,13.26666667,35.8,-0.497415123,-0.521829502,1.453556756
2578.67,15301.742,65517.241,0.2575,0.63328,2.008,3.5,34.9,2,-0.03878591,0.997864649,-0.112627285
257.745,28953.244,67449.65035,0.3475,0.559753846,1.150542174,16.57142857,53.86666667,35.57142857,-1.660830471,-0.793203457,-1.336593946
1698.227697,34295.92233,277333.3333,0.247,1.7,1.4,28.42857143,43.53846154,69.7826087,0.03635673,-1.493606714,0.901692694
9774.379085,167641.6365,8714723.769,0.906491667,1.087,4.3,5.1,16.33333333,23.5,0.621951092,0.413764516,0.389908145
1045415.452,235323.1306,2393493.383,0.843011765,2.025,3.7,61.33333333,9.727272727,50,-1.507954067,-0.26596263,-1.216355408
917375.0827,4254997.492,186984.4145,0.433571429,4.977272727,2.2,5,10.375,27,0.948432905,2.336642829,2.261313091
10994.24128,572033.0739,2614925.205,0.325714286,1.476,0.942,29.5,12.5,13.33333333,1.085762556,0.41634903,-1.136196382
60069.05496,388149.478,5940343.671,0.170055556,3.135,2.366,10.75,19.7,30,-0.19425344,1.737035613,-1.432168169
85271.22311,1029118.961,403.283,0.187915,0.6838,9.037857143,18,97.54545455,20,0.287695903,-0.175504644,0.895526615
704232.1831,3328178.788,2.4,0.35,2.299828571,2.26,0.7,24.26,52,-1.05709823,-1.436747409,-0.584332321
44091.71076,1240727.963,14461.806,0.4,1.356,2.6325,39.75,36.33333333,83.57142857,-0.712478539,-0.816464082,0.346745593
972.222,13476.08025,6745,0.575,3.316666667,1.8758,7.983333333,27,24,0.222917765,1.01854076,-0.223616705
420.7349282,30787.038,3094.871795,0.248,4.10130719,0.864,6.658823529,42.8,9.625,0.593448712,0.571419862,0.318998238
83.49056604,34748.23529,15475.476,0.21,3.826315789,2.026577419,2,62.4,35.75,0.471665813,-0.860400818,-0.716903017
29.764,2326.771978,33817.727,0.8375,4.076344086,2.42,31.57142857,70.6,4.4,-1.386171169,-0.240117491,-1.253351881
139.159,4794.17,25032.467,0.95355,6.18375,1.45,7.555555556,5,49.5,1.484795883,0.23543306,0.605720907
146.573,5979.875,41737.144,1.71488,1.154,1.9,88.83333333,20.82352941,43.16129032,1.961562974,0.480961876,-0.716903017
302.762,31717.196,123446.4,0.375809091,5.732142857,3.7,10,27.36842105,75.83333333,1.269732467,1.42689395,1.20383056
191.4613492,15482.02,7556.266667,0.490545455,3.6575,2.199090909,189.25,63,5,0.787783124,0.760089374,-0.951214015
552.4608854,1770.359667,2038.461,0.397608333,2.517375,1.147916667,5,59.20588235,70,0.14000175,0.049348062,1.305570862
64.136,3647.2,15802.906,0.335262222,2.375461538,0.682,15,23.54166667,22.33333333,0.570128582,0.475792849,0.124766753
132.533,1678.488,146969.1795,0.25,3.240230769,1.354333333,7.826086957,37.5,183.7272727,-0.50112147,0.384658594,1.736480095
13.79170856,1801.876,15428.57143,0.661428571,1.780263333,6.885333333,4.74,136.4285714,28.25,-1.616273557,-1.264982279,-1.306719171
76266.22853,5751.529412,63199.07407,0.36,0.979831933,2.05,63.5,52.16666667,42.5,1.452624989,-0.275759814,0.507340267
