TN_AgricultureNoStrat,Reservoir,Year
1.414285714,CBR,1987
1.1,CBR,1988
2.4,CBR,1989
1.2,CBR,1992
1.125,CBR,1999
1.198,CBR,2007
1.233,CBR,2008
1.6189,CBR,2009
1.04425,CBR,2012
1.605,CBR,2014
0.94925,CBR,2015
2.008,CBR,2017
1.150542174,CBR,2018
1.4,CHL,1987
4.3,CHL,1988
3.7,CHL,1989
2.2,CHL,1991
0.942,CHL,2007
2.366,CHL,2008
9.037857143,CHL,2009
2.26,CHL,2010
2.6325,CHL,2014
1.8758,CHL,2015
0.864,CHL,2016
2.026577419,CHL,2017
2.42,CHL,2018
1.45,CMR,1987
1.9,CMR,1988
3.7,CMR,1989
2.199090909,CMR,1990
1.147916667,CMR,1991
0.682,CMR,2007
1.354333333,CMR,2008
6.885333333,CMR,2009
2.05,CMR,2010
0.905,CMR,2014
1.687333333,CMR,2015
1.461,CMR,2016
1.183477778,CMR,2017
1.5265,CMR,2018
8.5,HTR,1987
1.55,HTR,1988
9.3,HTR,1991
5.05,HTR,1992
2.942,HTR,2006
1.6915,HTR,2007
1.531428571,HTR,2008
14.79966667,HTR,2009
1.505666667,HTR,2013
4.43,HTR,2014
3.6585,HTR,2015
3.301555556,HTR,2016
5.46,HTR,2017
3.754285714,HTR,2018
3.95,MSR,1987
4.316666667,MSR,1988
3.86,MSR,1989
6.1,MSR,1992
3.9,MSR,1999
2.822857143,MSR,2006
3.502,MSR,2008
11.269,MSR,2009
3.661111111,MSR,2010
4.2125,MSR,2012
1.878,MSR,2013
2.7075,MSR,2014
1.9592,MSR,2015
0.93925,MSR,2016
4.705714286,MSR,2017
1.9965,MSR,2018
0.8,NRR,1987
1.666666667,NRR,1988
0.7,NRR,1989
0.817647059,NRR,1990
1,NRR,1991
0.9,NRR,1992
1.065,NRR,1999
1.67125,NRR,2006
0.901,NRR,2007
3.630769231,NRR,2009
1.32625,NRR,2011
1.9125,NRR,2013
1.958,NRR,2014
1.0837,NRR,2015
0.64025,NRR,2016
0.6573,NRR,2017
0.774,NRR,2018
5.4,SRR,1987
4.6,SRR,1988
3.466666667,SRR,1989
2.8,SRR,1991
5.15,SRR,1992
2.677142857,SRR,2006
1.519678571,SRR,2007
4.015,SRR,2008
13.37833333,SRR,2009
7.853333333,SRR,2010
1.555,SRR,2012
4.534285714,SRR,2013
2.74,SRR,2014
1.179161111,SRR,2015
1.874555556,SRR,2016
4.411818182,SRR,2017
2.431818182,SRR,2018
