Year,Surface Water Temp,Reservoir,Watershed,Type,Month
1989,18.56945,BHR,Forest,For,May
1990,20.34055,BHR,Forest,For,May
1991,23.82651667,BHR,Forest,For,May
1992,20.26718333,BHR,Forest,For,May
1993,21.3561,BHR,Forest,For,May
1994,19.26213,BHR,Forest,For,May
1995,19.067525,BHR,Forest,For,May
1996,20.91299,BHR,Forest,For,May
1997,18.42835,BHR,Forest,For,May
1998,20.74725,BHR,Forest,For,May
1999,22.88565,BHR,Forest,For,May
2000,20.14685,BHR,Forest,For,May
2001,24.17978333,BHR,Forest,For,May
2002,18.07428333,BHR,Forest,For,May
2003,20.74685,BHR,Forest,For,May
2004,22.75538333,BHR,Forest,For,May
2005,20.8189,BHR,Forest,For,May
2006,19.175,BHR,Forest,For,May
2007,23.09785,BHR,Forest,For,May
2008,19.00885,BHR,Forest,For,May
2009,20.21495,BHR,Forest,For,May
2010,22.41495,BHR,Forest,For,May
2016,23.78445,BHR,Forest,For,May
2017,22.84685,BHR,Forest,For,May
2018,23.01758333,BHR,Forest,For,May
1989,19.30285,BRR,Ag_Strat,Ag,May
1990,17.103625,BRR,Ag_Strat,Ag,May
1991,22.638125,BRR,Ag_Strat,Ag,May
1992,20.69275,BRR,Ag_Strat,Ag,May
1993,21.22325,BRR,Ag_Strat,Ag,May
1994,19.287,BRR,Ag_Strat,Ag,May
1995,20.758875,BRR,Ag_Strat,Ag,May
1996,21.3155,BRR,Ag_Strat,Ag,May
1997,17.725,BRR,Ag_Strat,Ag,May
1998,23.13025,BRR,Ag_Strat,Ag,May
1999,22.05258333,BRR,Ag_Strat,Ag,May
2000,21.11666667,BRR,Ag_Strat,Ag,May
2001,23.26908333,BRR,Ag_Strat,Ag,May
2002,19.870875,BRR,Ag_Strat,Ag,May
2003,21.82755,BRR,Ag_Strat,Ag,May
2004,23.0815,BRR,Ag_Strat,Ag,May
2005,20.6875,BRR,Ag_Strat,Ag,May
2006,19.884,BRR,Ag_Strat,Ag,May
2007,22.9185,BRR,Ag_Strat,Ag,May
2008,18.910125,BRR,Ag_Strat,Ag,May
2009,20.5845,BRR,Ag_Strat,Ag,May
2016,20.85241667,BRR,Ag_Strat,Ag,May
2017,23.30158333,BRR,Ag_Strat,Ag,May
2018,24.993,BRR,Ag_Strat,Ag,May
1989,14.5847,BVR,Ag_Strat,Ag,May
1990,14.2331,BVR,Ag_Strat,Ag,May
1991,18.93217,BVR,Ag_Strat,Ag,May
1992,15.663,BVR,Ag_Strat,Ag,May
1993,12.6415,BVR,Ag_Strat,Ag,May
1994,15.2105,BVR,Ag_Strat,Ag,May
1995,15.8647,BVR,Ag_Strat,Ag,May
1996,14.4885,BVR,Ag_Strat,Ag,May
1997,14.51275,BVR,Ag_Strat,Ag,May
1998,21.2735,BVR,Ag_Strat,Ag,May
1999,18.1275,BVR,Ag_Strat,Ag,May
2000,18.59233,BVR,Ag_Strat,Ag,May
2001,19.2715,BVR,Ag_Strat,Ag,May
2002,14.985,BVR,Ag_Strat,Ag,May
2003,17.2645,BVR,Ag_Strat,Ag,May
2004,18.552,BVR,Ag_Strat,Ag,May
2005,15.88917,BVR,Ag_Strat,Ag,May
2006,17.55783,BVR,Ag_Strat,Ag,May
2007,19.7185,BVR,Ag_Strat,Ag,May
2008,16.64625,BVR,Ag_Strat,Ag,May
2009,19.24425,BVR,Ag_Strat,Ag,May
2010,17.6855,BVR,Ag_Strat,Ag,May
2016,16.1905,BVR,Ag_Strat,Ag,May
2017,17.95775,BVR,Ag_Strat,Ag,May
2018,21.0345,BVR,Ag_Strat,Ag,May
1989,14.8035,CBR,Ag_No_Strat,Ag,May
1990,16.2073,CBR,Ag_No_Strat,Ag,May
1991,17.97175,CBR,Ag_No_Strat,Ag,May
1992,15.3145,CBR,Ag_No_Strat,Ag,May
1993,16.6795,CBR,Ag_No_Strat,Ag,May
1994,15.37275,CBR,Ag_No_Strat,Ag,May
1995,15.69675,CBR,Ag_No_Strat,Ag,May
1996,14.73017,CBR,Ag_No_Strat,Ag,May
1997,13.88175,CBR,Ag_No_Strat,Ag,May
1998,20.406,CBR,Ag_No_Strat,Ag,May
1999,18.561,CBR,Ag_No_Strat,Ag,May
2000,18.4991,CBR,Ag_No_Strat,Ag,May
2001,19.3489,CBR,Ag_No_Strat,Ag,May
2002,16.2115,CBR,Ag_No_Strat,Ag,May
2003,17.3455,CBR,Ag_No_Strat,Ag,May
2004,18.582,CBR,Ag_No_Strat,Ag,May
2005,16.9075,CBR,Ag_No_Strat,Ag,May
2006,16.61517,CBR,Ag_No_Strat,Ag,May
2007,19.97217,CBR,Ag_No_Strat,Ag,May
2008,16.6705,CBR,Ag_No_Strat,Ag,May
2009,19.2135,CBR,Ag_No_Strat,Ag,May
2010,18.25575,CBR,Ag_No_Strat,Ag,May
2016,17.67717,CBR,Ag_No_Strat,Ag,May
2017,18.1985,CBR,Ag_No_Strat,Ag,May
2018,18.214,CBR,Ag_No_Strat,Ag,May
1989,15.93615,CCK,Ag_Strat,Ag,May
1990,15.39205,CCK,Ag_Strat,Ag,May
1991,19.93752,CCK,Ag_Strat,Ag,May
1992,16.8091,CCK,Ag_Strat,Ag,May
1993,18.28898,CCK,Ag_Strat,Ag,May
1994,15.87443,CCK,Ag_Strat,Ag,May
1995,16.42979,CCK,Ag_Strat,Ag,May
1996,16.79358,CCK,Ag_Strat,Ag,May
1997,15.06423,CCK,Ag_Strat,Ag,May
1998,20.60125,CCK,Ag_Strat,Ag,May
1999,20.04343,CCK,Ag_Strat,Ag,May
2000,18.88912,CCK,Ag_Strat,Ag,May
2001,20.14889,CCK,Ag_Strat,Ag,May
2002,17.48835,CCK,Ag_Strat,Ag,May
2003,17.31878,CCK,Ag_Strat,Ag,May
2004,20.10575,CCK,Ag_Strat,Ag,May
2006,17.65005,CCK,Ag_Strat,Ag,May
2007,20.93075,CCK,Ag_Strat,Ag,May
2008,16.97226,CCK,Ag_Strat,Ag,May
2009,20.18525,CCK,Ag_Strat,Ag,May
2010,17.89946,CCK,Ag_Strat,Ag,May
2012,21.24665,CCK,Ag_Strat,Ag,May
2016,17.3886,CCK,Ag_Strat,Ag,May
2017,18.79122,CCK,Ag_Strat,Ag,May
2018,18.83515,CCK,Ag_Strat,Ag,May
1989,16.7247,CFK,Forest,For,May
1990,19.2453,CFK,Forest,For,May
1991,22.8038,CFK,Forest,For,May
1992,19.55194,CFK,Forest,For,May
1993,20.4606,CFK,Forest,For,May
1994,18.1641,CFK,Forest,For,May
1995,18.91705,CFK,Forest,For,May
1996,20.11318,CFK,Forest,For,May
1997,17.8321,CFK,Forest,For,May
1998,22.1917,CFK,Forest,For,May
1999,21.8583,CFK,Forest,For,May
2000,20.51137,CFK,Forest,For,May
2001,21.76175,CFK,Forest,For,May
2002,19.1697,CFK,Forest,For,May
2003,21.2957,CFK,Forest,For,May
2004,21.43057,CFK,Forest,For,May
2005,21.7129,CFK,Forest,For,May
2006,21.29877,CFK,Forest,For,May
2007,22.4008,CFK,Forest,For,May
2008,18.1235,CFK,Forest,For,May
2009,21.9644,CFK,Forest,For,May
2010,21.8818,CFK,Forest,For,May
2016,19.5606,CFK,Forest,For,May
2017,21.125,CFK,Forest,For,May
2018,23.3462,CFK,Forest,For,May
1989,16.74176,CHL,Ag_No_Strat,Ag,May
1990,15.08016,CHL,Ag_No_Strat,Ag,May
1991,20.779,CHL,Ag_No_Strat,Ag,May
1992,17.57933,CHL,Ag_No_Strat,Ag,May
