TN_Forest,Reservoir,Year
0.3,BHR,1989
0.241666667,BHR,1990
0.483333333,BHR,1991
0.265,BHR,1999
0.2,BHR,2007
1.394473684,BHR,2009
0.105,BHR,2014
0.245557143,BHR,2015
0.326857143,BHR,2016
0.2706,BHR,2017
0.236711111,BHR,2018
0.2575,CFK,1999
0.3475,CFK,2007
0.247,CFK,2008
0.906491667,CFK,2009
0.843011765,CFK,2014
0.433571429,CFK,2015
0.325714286,CFK,2016
0.170055556,CFK,2017
0.187915,CFK,2018
0.35,CRR,1988
0.4,CRR,1989
0.575,CRR,1992
0.248,CRR,1999
0.21,CRR,2007
0.8375,CRR,2009
0.95355,CRR,2013
1.71488,CRR,2014
0.375809091,CRR,2015
0.490545455,CRR,2016
0.397608333,CRR,2017
0.335262222,CRR,2018
0.25,MNR,1987
0.661428571,MNR,1988
0.36,MNR,1989
0.506617647,MNR,1990
0.726666667,MNR,1991
0.17875,MNR,1999
0.387,MNR,2007
0.514333333,MNR,2008
1.007730769,MNR,2009
0.489,MNR,2010
0.841758242,MNR,2013
1.626171429,MNR,2014
1.147533333,MNR,2015
0.8762,MNR,2016
0.634764706,MNR,2017
0.633666667,MNR,2018
0.2625,PRR,1987
0.475,PRR,1988
0.46,PRR,1989
0.089137931,PRR,1997
0.273571429,PRR,1999
0.352,PRR,2007
0.204142857,PRR,2008
0.776555556,PRR,2009
0.352,PRR,2010
0.711666667,PRR,2013
1.456275,PRR,2014
1.24195,PRR,2015
0.3755,PRR,2016
0.555385714,PRR,2017
0.575957143,PRR,2018
